Name,Mass,Radius,Distance
II Pegasi,0130,0.8,3.4
K2-19d,4.2001872e-05,0.0102408,950.0
VY Canis Majoris,03900,17,1420
K2-24b,5.9184456e-05,0.052208000000000004,590.0
Pistol Star,025000,100,320
K2-24c,7.827621600000001e-05,0.0725892,590.0
S Doradus,0169000,24,380
K2-26b,0.000227191944,1.4624766,nan
UY Scuti,05100,7–10,755
K2-27b,9.280504536000001e-05,0.04016,nan
Barnard's Star,05.98,0.14,0.20
K2-29b,0.00069684924,0.119476,600.0
Luhman 16,06.52,0.04,?
K2-30b,0.000552706452,0.1043156,910.0
Proxima Centauri,04.25,0.12,0.15
K2-31b,0.0016934391120000001,0.106424,nan
KIC 8462852,01470,1.43,1.58
K2-32b,4.955266308e-05,0.0459832,nan
R136a1,0163000,290,32
K2-32c,3.634116516e-05,0.027007600000000003,nan
Melnick 42,0163000,189,21.1
K2-32d,3.0938197080000005e-05,0.0307224,nan
WR 102,018134,19,0.39
K2-33b,0.0035319756000000003,0.045180000000000005,nan
VFTS 352,0164000,57.48,14.47
K2-34b,0.00168007488,0.13554000000000002,1230.0
YBP 1194,02772,1.01,0.99
K2-35b,0.0001193235,0.24094393600000003,nan
Gliese 1214,047.5,0.16,0.21
K2-35c,0.000177553368,0.563155648,nan
NML Cygni,05251,50,2205.0
K2-36b,0.00011264138399999999,0.142835064,nan
VB 10,018.72,0.075,0.10
K2-36c,0.000238647,0.536195236,nan
WOH G64,0163000,<20,1635.0
K2-37b,0.000137460672,0.44589346799999996,nan
TRAPPIST-1,039.6,0.089,0.12
K2-37c,0.00023387406,0.645475616,nan
2MASS J0523-1403,040.3,0.07,0.086
K2-37d,0.000232919472,1.414825756,nan
WISE 0855−0714,07.27,0.003,?
